Event based TLM
Project: KappaDirectional
Thu Dec 04 16:18:32 2008


V	Distance	Theta	Phi
-1.333333	0.000000	-1.#IND00	-1.#IND00
0.005314	63.639610	0.000000	0.785398
-0.005379	64.272856	0.140490	0.785398
-0.005934	66.136223	0.275643	0.785398
0.006313	69.130312	0.401247	0.785398
-0.006920	73.116346	0.514806	0.785398
-0.012093	77.942286	0.615480	0.785398
0.004026	83.462566	0.703639	0.785398
0.002567	89.548869	0.780348	0.785398
-0.002371	96.093704	0.846957	0.785398
-0.002034	103.009708	0.904852	0.785398
-0.002324	70.292247	0.000000	0.876058
0.002304	70.866071	0.127344	0.876058
0.002498	72.560320	0.250687	0.876058
-0.002749	75.299402	0.366734	0.876058
0.003078	78.974679	0.473318	0.876058
0.004026	83.462566	0.569444	0.876058
-0.006138	88.639720	0.655061	0.876058
-0.002944	94.392796	0.730744	0.876058
-0.001460	100.623059	0.797399	0.876058
0.001573	107.247378	0.856056	0.876058
-0.002005	77.420927	0.000000	0.950547
0.002459	77.942286	0.115728	0.950547
-0.002061	79.485848	0.228437	0.950547
0.001969	81.993902	0.335554	0.950547
-0.002008	85.381497	0.435250	0.950547
0.002567	89.548869	0.526510	0.950547
-0.002944	94.392796	0.609037	0.950547
0.004526	99.814829	0.683059	0.950547
-0.002312	105.726061	0.749134	0.950547
-0.001708	112.049096	0.807986	0.950547
0.002038	84.905830	0.000000	1.012197
-0.002208	85.381497	0.105605	1.012197
0.001717	86.792857	0.208907	1.012197
0.002103	89.095454	0.307887	1.012197
0.001993	92.222557	0.401023	1.012197
-0.002371	96.093704	0.487358	1.012197
-0.001460	100.623059	0.566469	1.012197
-0.002312	105.726061	0.638360	1.012197
0.003536	111.323852	0.703331	1.012197
-0.001641	117.345643	0.761860	1.012197
0.001493	92.660671	0.000000	1.063698
0.001115	93.096724	0.096825	1.063698
0.001701	94.392796	0.191868	1.063698
-0.001257	96.514248	0.283535	1.063698
0.001733	99.408249	0.370566	1.063698
-0.002034	103.009708	0.452096	1.063698
0.001573	107.247378	0.527655	1.063698
-0.001708	112.049096	0.597108	1.063698
-0.001641	117.345643	0.660576	1.063698
-0.003418	123.073149	0.718353	1.063698
0.002705	54.000000	0.000000	0.000000
-0.002171	54.744863	0.165149	0.000000
0.002714	56.920998	0.321751	0.000000
0.001825	60.373835	0.463648	0.000000
0.002897	64.899923	0.588003	0.000000
-0.002324	70.292247	0.694738	0.000000
0.004182	76.367532	0.785398	0.000000
-0.002360	82.975900	0.862170	0.000000
-0.001756	90.000000	0.927295	0.000000
-0.001256	97.349884	0.982794	0.000000
-0.002171	54.744863	0.000000	0.165149
-0.002718	55.479726	0.162941	0.165149
0.002319	57.628118	0.317663	0.165149
0.002743	61.040970	0.458190	0.165149
-0.003259	65.520989	0.581697	0.165149
0.002304	70.866071	0.688009	0.165149
-0.004530	76.896034	0.778549	0.165149
0.001948	83.462566	0.855394	0.165149
0.001627	90.448881	0.920707	0.165149
0.001670	97.765024	0.976454	0.165149
0.002714	56.920998	0.000000	0.321751
0.002319	57.628118	0.156816	0.321751
0.002726	59.699246	0.306277	0.321751
0.001875	63.000000	0.442911	0.321751
0.002907	67.349833	0.563943	0.321751
0.002498	72.560320	0.668964	0.321751
0.004272	78.460181	0.759070	0.321751
0.002169	84.905830	0.836047	0.321751
0.001673	91.782351	0.901832	0.321751
-0.001540	99.000000	0.958242	0.321751
0.001825	60.373835	0.000000	0.463648
0.002743	61.040970	0.147981	0.463648
0.001875	63.000000	0.289752	0.463648
0.002935	66.136223	0.420534	0.463648
0.002882	70.292247	0.537683	0.463648
-0.002749	75.299402	0.640522	0.463648
0.004855	81.000000	0.729728	0.463648
0.002108	87.258237	0.806681	0.463648
-0.001412	93.962759	0.873002	0.463648
-0.001738	101.024749	0.930274	0.463648
0.002897	64.899923	0.000000	0.588003
-0.003259	65.520989	0.137796	0.588003
0.002907	67.349833	0.270550	0.588003
0.002882	70.292247	0.394244	0.588003
-0.003374	74.215901	0.506445	0.588003
0.003078	78.974679	0.606266	0.588003
-0.005004	84.427484	0.693981	0.588003
-0.002133	90.448881	0.770544	0.588003
-0.001795	96.932967	0.837215	0.588003
-0.001703	103.793063	0.895304	0.588003
-0.002324	70.292247	0.000000	0.694738
0.002304	70.866071	0.127344	0.694738
0.002498	72.560320	0.250687	0.694738
-0.002749	75.299402	0.366734	0.694738
0.003078	78.974679	0.473318	0.694738
0.004026	83.462566	0.569444	0.694738
-0.006138	88.639720	0.655061	0.694738
